task, tps, accuracy
puzzles-latin_square, 1.0, 30.0
puzzles-latin_square, 2.0, 35.0
puzzles-latin_square, 4.0, 17.0
puzzles-latin_square, 8.0, 2.0
puzzles-latin_square, 16.0, 0.0
puzzles-latin_square, 32.0, 0.0
puzzles-sudoku, 1.0, 34.3
puzzles-sudoku, 2.0, 30.6
puzzles-sudoku, 4.0, 14.8
puzzles-sudoku, 8.0, 5.6
puzzles-sudoku, 16.0, 0.0
puzzles-sudoku, 32.0, 0.0
textwriting-paraphrasing, 1.0, 98.0
textwriting-paraphrasing, 2.0, 92.0
textwriting-paraphrasing, 4.0, 82.0
textwriting-paraphrasing, 8.0, 43.0
textwriting-paraphrasing, 16.0, 15.0
textwriting-paraphrasing, 32.0, 12.0
textwriting-summarization, 1.0, 95.0
textwriting-summarization, 2.0, 73.0
textwriting-summarization, 4.0, 55.0
textwriting-summarization, 8.0, 32.0
textwriting-summarization, 16.0, 10.0
textwriting-summarization, 32.0, 6.0
textwriting-w2s_easy, 1.0, 99.0
textwriting-w2s_easy, 2.0, 84.0
textwriting-w2s_easy, 4.0, 58.0
textwriting-w2s_easy, 8.0, 28.0
textwriting-w2s_easy, 16.0, 7.0
textwriting-w2s_easy, 32.0, 1.0
textwriting-w2s_hard, 1.0, 98.0
textwriting-w2s_hard, 2.0, 68.0
textwriting-w2s_hard, 4.0, 19.0
textwriting-w2s_hard, 8.0, 12.0
textwriting-w2s_hard, 16.0, 0.0
textwriting-w2s_hard, 32.0, 0.0
textwriting-w2s_medium, 1.0, 100.0
textwriting-w2s_medium, 2.0, 68.0
textwriting-w2s_medium, 4.0, 35.0
textwriting-w2s_medium, 8.0, 10.0
textwriting-w2s_medium, 16.0, 0.0
textwriting-w2s_medium, 32.0, 0.0
waitingline-copy, 1.0, 100.0
waitingline-copy, 2.0, 100.0
waitingline-copy, 4.0, 100.0
waitingline-copy, 8.0, 100.0
waitingline-copy, 16.0, 100.0
waitingline-copy, 32.0, 98.0
waitingline-insert_index, 1.0, 60.0
waitingline-insert_index, 2.0, 58.0
waitingline-insert_index, 4.0, 58.0
waitingline-insert_index, 8.0, 45.0
waitingline-insert_index, 16.0, 42.0
waitingline-insert_index, 32.0, 19.0
waitingline-insert_random, 1.0, 99.0
waitingline-insert_random, 2.0, 69.0
waitingline-insert_random, 4.0, 51.0
waitingline-insert_random, 8.0, 27.0
waitingline-insert_random, 16.0, 16.0
waitingline-insert_random, 32.0, 0.0
waitingline-remove_index, 1.0, 43.0
waitingline-remove_index, 2.0, 40.0
waitingline-remove_index, 4.0, 40.0
waitingline-remove_index, 8.0, 38.0
waitingline-remove_index, 16.0, 38.0
waitingline-remove_index, 32.0, 8.0
waitingline-remove_random, 1.0, 99.0
waitingline-remove_random, 2.0, 75.0
waitingline-remove_random, 4.0, 57.0
waitingline-remove_random, 8.0, 46.0
waitingline-remove_random, 16.0, 39.0
waitingline-remove_random, 32.0, 5.0
waitingline-replace_index, 1.0, 43.0
waitingline-replace_index, 2.0, 42.0
waitingline-replace_index, 4.0, 38.0
waitingline-replace_index, 8.0, 38.0
waitingline-replace_index, 16.0, 35.0
waitingline-replace_index, 32.0, 25.0
waitingline-replace_random, 1.0, 99.0
waitingline-replace_random, 2.0, 82.0
waitingline-replace_random, 4.0, 69.0
waitingline-replace_random, 8.0, 37.0
waitingline-replace_random, 16.0, 22.0
waitingline-replace_random, 32.0, 8.0
waitingline-reverse, 1.0, 98.0
waitingline-reverse, 2.0, 98.0
waitingline-reverse, 4.0, 98.0
waitingline-reverse, 8.0, 95.0
waitingline-reverse, 16.0, 85.0
waitingline-reverse, 32.0, 23.0
waitingline-shuffle, 1.0, 100.0
waitingline-shuffle, 2.0, 28.0
waitingline-shuffle, 4.0, 20.0
waitingline-shuffle, 8.0, 4.0
waitingline-shuffle, 16.0, 1.0
waitingline-shuffle, 32.0, 1.0
waitingline-sort, 1.0, 36.0
waitingline-sort, 2.0, 27.0
waitingline-sort, 4.0, 22.0
waitingline-sort, 8.0, 12.0
waitingline-sort, 16.0, 11.0
waitingline-sort, 32.0, 2.0
